商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
不明,不明,不明,4,ご利用について,5,注文したい商品が見当たらない、注文番号が分からない,オーナメント追加注文の注文番号を知りたい,オーナメント追加注文番号確認,商品番号確認,追加注文用の商品番号が分からない,追加オーナメントの番号不明,中,商品ページ,注文前,オーナメント;追加注文;注文番号;58-9-2-1,低,またオーナメント追加注文であれば、注文番号を教えて頂けませんか？,オーナメント
防犯ネット 2.5cmピッチタイプ（グレー）,不明,不明,8,帳票について,3,見積書の発行希望,防犯ネットのサイズ違い見積依頼,防犯ネット特注の見積依頼,見積書発行,なし,なし,低,お問い合わせフォーム,注文前,防犯ネット;2.5㎝ピッチ;グレー;サイズ違い;縦160㎝;横6メートル;2枚;見積もり;1枚の値段,中,"防犯ネット2,5㎝ピッチタイプ（グレー）のサイズ違いの見積もりをお願いしたい;縦160㎝ 横6メートルを２枚作成していただきたいのですが、1枚の値段をお聞かせください。",防犯ネット
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,相互リンク（SEO施策）の提案をしたい,相互リンク掲載の提案,不明,なし,なし,不明,不明,不明,malna株式会社;相互リンク;SEO;オウンドメディア;内部最適化;検索流入300%;ドメインレーティング;DR;情報交換;jo-katsu.com;malna.co.jp/blog;classywig.jp/media,低,相互リンクという形での連携をご提案させていただきたくご連絡差し上げました。;貴社サイトと、弊社が運営する以下複数のメディア間での相互リンク掲載をお願いできればと考えております。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,本日納入の到着時間を確認したい,本日納入の到着時間確認,納期確認,なし,なし,中,注文履歴詳細,配送前,本日;納入時間;到着時間,高,本日納入時間をご教示ください,不明
不明,不明,不明,4,ご利用について,1,ログインできない,過去利用アカウントでログインできないため解決したい,過去利用アカウントにログイン不可,ログイン,ログインできず原因が分からない,色々試したがログインできない,中,ログインできない場合,不明,過去に利用;色々試しました;ログインできない,低,過去に利用させて頂いてました;色々試しましたがログインません,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再送（郵送またはデータ）してほしい,納品書の再送付依頼,帳票発行,なし,なし,中,不明,帳票発行時,納品書;同封されていない;郵送;データ送付;本日届いた,中,納品書が同封されていませんでした;郵送またはデータにて送付いただけないでしょうか？,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,生成AI活用ウェビナー共催の営業提案をしたい,生成AIウェビナー共催提案,不明,なし,なし,低,不明,不明,生成AI活用;無料ウェビナー;共催;生成AI活用研修;紹介手数料;10～30%;案内メール;日程調整;timerex.net;プレシャスデイズ株式会社;佐藤 祐樹;松尾研究室,低,「生成AI活用」をテーマにした無料ウェビナーを共催させていただけないかと思い、ご連絡いたしました。;一度オンラインにて30分ほどお打ち合わせの機会をいただけないでしょうか？,不明
LED1728球 ドレープライトロングサイズ(10m) ホワイト/ブルー,不明,不明,4,ご利用について,5,注文したい商品が見当たらない、注文番号が分からない,販売終了表示の理由（完売か）を確認したい,販売終了表示が完売か確認,在庫確認,商品ページで「販売終了」と表示され購入できない,販売終了表示で購入不可,中,商品ページ,注文前,58-63-1-1;LED1728球;ドレープライトロングサイズ;10m;ホワイト/ブルー;販売終了;完売,低,販売終了と出てしまいます。商品が完売したというこでしょうか?,ドレープライト（イルミネーション）
不明,不明,不明,3,注文について,3,注文内容の変更,既存注文に商品を追加したい,注文に1セット追加したい,注文内容変更,なし,なし,低,注文履歴詳細,注文後,61-423-55-3;1セット;追加,中,61-423-55-3を1セット追加したいです。,不明
ゴミ箱関連;シューズラック,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,取引提案（売り込み）をしたい,商品提案の機会を依頼,不明,なし,なし,低,お問い合わせフォーム,不明,平和工業株式会社;ゴミ箱;業務用;店舗備品;シューズラック;トリプルサイズ;1段あたり3足収納;直送対応;個装箱;提案;売上UP,低,御社へ以下の商品アイテムをご提案し、売上UPに貢献できます。;東京本社にて、一度ご提案の機会を頂ければ幸いです。,ゴミ箱
不明,不明,ストエキ（公式サイト）,1,商品単品の仕様について,8,その他商品について,商品（注文予定品）の梱包方法と梱包サイズ（3辺）を事前に確認したい,梱包方法と3辺サイズ確認,商品仕様確認,梱包方法や梱包サイズの情報が見当たらない,梱包方法・梱包サイズ情報不足,中,商品ページ,注文前,61-785-36-1;オンライン注文予定;配送時;梱包方法;3辺;サイズ,低,61-785-36-1 をオンライン注文予定なのですが の配送時の梱包方法や３辺のサイズをお伺いしたく思います。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,配送予定（納期）の確認に対するお礼・完了連絡,配送予定の案内への感謝,納期確認,なし,なし,不明,不明,注文後,配送予定;今日;信頼して注文;対応;感謝,低,早速のご連絡をありがとうございました。;これからも信頼して注文させていただきたく思います！,不明
不明,事務担当,不明,7,インボイスについて,2,領収書でのインボイス希望,適格請求書番号記載の領収書を発行してほしい,インボイス対応領収書発行依頼,領収書発行,領収書がインボイス対応か分からない,適格請求書番号の記載が確認できない,中,注文履歴詳細,帳票発行時,納品書;送付先;商品と同梱する;適格請求書番号;納品明細;領収書;発行,中,適格請求書番号の記載のないただの納品明細しか確認できませんでした。;適格請求書番号記載の領収書の発行をお願いいたします。,不明
不明,不明,不明,6,納期について,9,到着時間指定の希望（ご注文前）,12/4の午前着で配送時間指定したい,12/4午前着の指定希望,配送時間指定,なし,なし,中,ご注文の確認,注文時,2025年12月4日;AM着指定;12/4着,中,可能でしたら2025年12月4日AM着指定でお願い致します。（AM着は難しければ12/4着で結構です）,不明
不明,不明,不明,6,納期について,9,到着時間指定の希望（ご注文前）,12/4の午前着指定で配送してほしい,12/4午前着指定の依頼,配送日時指定,なし,なし,低,ご注文の確認,注文時,2025年12月4日;AM着;午前着指定;12/4着,中,可能でしたら2025年12月4日AM着指定でお願い致します。（AM着は難しければ12/4着で結構です）,不明
不明,不明,不明,6,納期について,9,到着時間指定の希望（ご注文前）,12/4のAM着（または12/4着）で配送日時を指定したい,12/4のAM着指定希望,到着時間指定,なし,なし,中,ご注文の確認,注文時,2025年12月4日;AM着指定;12/4着,中,可能でしたら2025年12月4日AM着指定でお願い致します。（AM着は難しければ12/4着で結構です）,不明
不明,事務担当,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,注文済み商品の到着日を12/5指定に変更したい,到着日を12/5指定へ変更,納期変更,日付指定の選択肢が12/6以降しかなく12/5を指定できない,到着日12/5が選択肢に無い,中,ご注文の確認,注文後,本日オーダー;12/5(金)指定;日付指定;12/6;本日出荷;12/5着,高,本日オーダーさせて頂いた商品ですが、 12/5(金)指定に変更できますでしょうか。;日付指定が12/6～でしたので本日出荷であれば12/5着で手配頂きたくご連絡いたしました。,不明
不明,事務担当,不明,3,注文について,2,入金確認,入金の着金確認をしてほしい,入金後の着金確認依頼,入金確認,なし,なし,低,不明,支払時,入金;着金確認,中,入金させていただきましたが、 着金確認できますでしょうか。,不明
不明,不明,不明,9,カタログ・DMについて,2,カタログを送付してほしい,会員登録なしでカタログ送付依頼できるか確認したい,会員登録不要でカタログ依頼可否,カタログ請求,会員登録が必須か分からない,カタログ依頼の要件が不明,中,カタログ請求,注文前,会員登録;カタログ発送;カタログ,低,会員登録をしないと、カタログ発送のお願いはできないでしょうか。,不明
LEDホログラムリボントナカイ,不明,不明,1,商品単品の仕様について,4,季節装飾商品について,LEDホログラムリボントナカイを吊って使えるか確認したい,LEDホログラムリボントナカイ吊り下げ可否,商品仕様確認,商品ページに設置方法の記載が不足,吊り下げ可否の情報が見つからない,中,商品ページ,注文前,LEDホログラムリボントナカイ;吊って利用;吊り下げ,低,貴商品のLEDホログラムリボントナカイは、吊って利用することは可能でしょうか。,(クリスマス)天井飾り／吊り装飾（ガーランド・リース）
エアクッション,事務担当,不明,7,インボイスについて,2,領収書でのインボイス希望,インボイス番号記載の納品書または領収書の発行を依頼したい,インボイス記載書類の発行依頼,帳票発行,なし,なし,中,注文履歴詳細,帳票発行時,エアクッション;別送;インボイス番号;納品書;領収書,中,インボイス番号が記載されております納品書または領収書をいただくことは可能でしょうか。,エアパッキン／エアキャップ
不明,不明,不明,3,注文について,3,注文内容の変更,追加商品を既存注文にまとめて注文したい,追加分をまとめて注文希望,注文内容の変更,なし,なし,中,注文履歴詳細,注文後,追加の商品;まとめて注文,中,追加の商品がありますので、まとめて注文します。,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,最短での納品可否を確認したい,最短納品で届けたい相談,納期確認,なし,なし,中,商品ページ,注文前,最短;納品希望,高,最短での納品希望です。,不明
パーティション用脚,不明,ストエキ（公式サイト）,6,納期について,10,到着時間指定の希望（ご注文後）,追加購入品を早く届ける方法を知りたい,請求書払いで早め配送可否,納期確認,日付指定が12/6以降しか選べない,日付指定の最短が遅く選べない,中,ご注文の確認,注文後,パーティション;脚;61-760-38-1;注文が1つ不足;追加購入;日付指定;12/6(土);請求書払い;指定なし,高,脚(61-760-38-1)の注文が1つ不足しておりできるだけ早めに購入したい;請求書払いだとこの日より早くというのは不可でしょうか。,パーテーション／衝立
不明,不明,ストエキ（公式サイト）,2,ご相談について,2,販促什器について,見積もり商品の大口割引の有無を確認したい,見積分購入の大口割引確認,見積もり,なし,なし,中,ログイン/マイページ,注文前,マイページ;保存;2件;見積もり;購入;検討;大口割引,低,現在マイページに保存している2件の見積もり分の購入を検討しておりますが、大口割引等はございますでしょうか？,不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,到着日を12/5着に変更したい,12/5(金)着へ変更希望,納期変更,希望日の12/5が日付指定で選べない,12/5着が指定画面に出ない,低,ご注文の確認,注文時,12/6(土);12/5(金);日付指定;着,中,購入時に12/6(土)からの日付指定しかできませんでしたが、12/5(金)着でいただきたいです。,不明
不明,不明,不明,3,注文について,6,配送先の変更,店舗移転に伴う送り先変更を依頼したい,移転先住所へ配送先変更,配送先変更,なし,なし,中,会員情報変更,注文後,店舗移転;送り先変更;新店舗;678-0245;兵庫県;赤穂市;三樋町8-6;TEL;08038275700,中,店舗が移転したので送り先の変更をお願いします;こちらに送ってください,不明
不明,不明,不明,4,ご利用について,12,注文履歴について,登録済みID/パスワード情報を確認したい,登録時のIDとPW確認,ログイン,なし,なし,中,ログイン/マイページ,不明,ダイレクトメール;登録;ID;syouugetudou;パスワード;xn60g33d,低,以前御社に登録したときIDの設定にsyouugetudou とパスワードがxn60g33dと登録なっているようです。,不明
不明,不明,不明,3,注文について,3,注文内容の変更,クレジットカード決済の支払い方法を変更したい,誤ったカード決済の変更依頼,支払方法変更,なし,なし,低,ご注文の確認,注文後,クレジットカード;決済;支払い方法変更;注文,中,誤って違うクレジットカードで決済をしてしまいました。;支払い方法を変更したいのですが可能でしょうか？,不明
不明,事務担当,不明,4,ご利用について,11,顧客登録情報の変更希望,NP掛け払い登録メールアドレスを変更したい,NP掛払の登録メール変更,メールアドレス変更,なし,なし,中,メールアドレス変更,不明,NP掛払;メールアドレス変更;旧：hi.nakayama@apahotel.com;新：ahkyothi-manager@apahotel.com;旧アドレス使用不可;アパホテル〈京都駅東〉,中,御社登録のNP掛払のメールアドレス変更をしたく連絡させていただきました。;旧アドレスにつきましては既に使用できませんので、連絡につきましては新アドレスにてお願いいたします。,不明
不明,不明,不明,4,ご利用について,6,支払方法の種類について,支払い方法をクレジットカードに変更したい,支払方法をカードにしたい,支払方法変更,なし,なし,中,ご利用ガイド（お支払いについて）,支払時,支払い方法;カード;クレジットカード,低,支払い方法をカードにしたいのですが,不明
不明,個人,不明,4,ご利用について,6,支払方法の種類について,カード決済に必要な情報と支払方法を確認したい,カード決済の確認をしたい,支払,支払手続きに必要なカード情報の用意ができていない,カード番号が手元になく手続きできない,中,ご利用ガイド（お支払いについて）,支払時,はじめて購入;急ぎ;今夜;カード番号,高,はじめてこちらで購入します。 急ぎなのと 今夜ならカード番号がわかります。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文を一度キャンセルしたい,早く受け取るためキャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,早く欲しい; キャンセル; 本日中; 支払い; カードに変更; 購入したい; 可能ですか,高,どうしても早く欲しいのですが、1度キャンセルして,不明
不明,不明,不明,4,ご利用について,6,支払方法の種類について,支払いをカード決済に変更して購入したい,支払いをカードに変更し直したい,支払,支払方法変更手順が分からない,支払方法の変更可否が不明,中,ご注文の確認,注文後,本日中; 支払い; カードに変更; 購入したい; キャンセル,高,本日中に支払いをカードに変更して購入したいのですが 可能ですか？,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,注文済みの希望納期を早めたい,希望納期を最短に前倒し希望,納期変更,なし,なし,低,注文履歴詳細,注文後,オーダー番号13739929;希望納期;12/15;最短;納期;早め,中,希望納期を12/15日で設定してますが納期が早められるなら最短でよろしくお願い致します。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文を一度キャンセルして支払い方法を変更し再購入したい,一度キャンセルして支払変更,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;支払い方法;今夜;購入したい,中,1度キャンセルして 今夜 支払い方法を変えて購入したい,不明
有孔ボード用メガネフック;有孔パネル,不明,不明,1,商品単品の仕様について,1,大型什器商品について,有孔パネルにメガネフックを最大いくつ掛けられるか知りたい,有孔パネルの掛け数確認,仕様確認,なし,なし,中,商品ページ,注文前,64-778-69-1;有孔ボード用メガネフック;有孔ボード;有孔パネル;61-553-70-1;61-553-70-2;2サイズ;最大いくつ;掛けられる,低,「このメガネフックがそれぞれ最大いくつ掛けられますでしょうか。」,有孔ボード
不明,不明,不明,3,注文について,4,注文のキャンセル,注文のキャンセルが完了しているか確認したい,キャンセル完了の可否確認,キャンセル状況確認,キャンセル完了の表示が分からない,キャンセル完了状態が確認できない,中,注文履歴詳細,注文後,キャンセル;確認;出来た,低,キャンセル出来たのですか？ 確認したいのですが,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,最短納期表示より早い日程で納期変更したい,12/5到着へ納期変更希望,納期変更,なし,なし,低,ご注文の確認,注文後,12月8日;最短納期;12月5日;使用予定;納期変更,中,12月8日が最短納期とのことで選択はしましたが使用予定があり12月5日でご対応いただけませんでしょうか。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,納期が希望通りでないため注文をキャンセルしたい,納期都合で注文をキャンセル,キャンセル,なし,なし,中,注文履歴詳細,注文後,納期;希望通りにいかない;キャンセル,中,こちら納期が希望通りにいかないようなのでキャンセルお願いします,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,誤って注文したためキャンセルしたい,誤注文のキャンセル可否確認,キャンセル,なし,なし,中,注文履歴詳細,注文後,間違って注文;キャンセルできますか,中,間違って注文しました キャンセルできますか,不明
不明,不明,不明,5,クレーム,3,注文した商品と違うものが届いた,注文と違う商品の到着に対する対応方法を知りたい,誤配送の対応手順確認,返品・交換,なし,なし,中,お問い合わせフォーム,配送後,61-127-6-1;違う商品が届いた;注文しました,中,61-127-6-1を注文しましたが、違う商品が届きました。どうしたら良いですか。,不明
1kg ソラ,不明,不明,6,納期について,4,納期確認（ご注文前）-在庫はいくつあるか,まとめ買い検討のため在庫数を確認したい,まとめ買い前に在庫数確認,在庫確認,なし,なし,中,商品ページ,注文前,まとめ買い;在庫数;61-785-31-24;1kg;ソラ,低,まとめ買いを検討しておりましてこちらの在庫数を確認させてください。;恐れ入りますが、ご確認の程宜しくお願い致します。,不明
カタログ,不明,不明,9,カタログ・DMについて,2,カタログを送付してほしい,カタログ送付先を現住所へ変更したい,カタログ送付先の変更依頼,配送先変更,住所変更がカタログ送付先へ反映されない,住所変更後も旧住所へ届く,中,会員情報変更,不明,住所変更;埼玉県;文京区湯島;カタログ;旧住所;現住所;送付先,中,住所の変更をしたのにもかかわらず（埼玉県）、カタログが以前住んでいた住所（文京区湯島）にずっと届いております。;今後、現在登録している住所に送って頂けますでしょうか？,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,当日出荷表示の注文が12/4発送・12/5納品可能か確認したい,12/4発送・12/5納品可否確認,納期確認,なし,なし,低,注文履歴詳細,注文後,当日出荷;12/4発送;12/5納品;納品;間に合わない;日本橋;店舗受け取り;明日午前中,高,当日出荷と記載がございましたが 12/4発送、12/5納品可能でしょうか。;また、日本橋の店舗にお伺いすれば受け取り可能な商品となるでしょうか。,不明
不明,不明,不明,6,納期について,8,配送会社に関する希望（ご注文後）,日本橋店舗で受け取り可能か確認したい,日本橋店舗での受取可否確認,受取方法確認,店舗受け取り可否の案内が見つからない,店舗受け取り条件が不明,中,ヘルプページ,注文後,日本橋;店舗;受け取り;当日出荷;12/4発送;12/5納品,高,また、日本橋の店舗にお伺いすれば受け取り可能な商品となるでしょうか。,不明
不明,不明,不明,4,ご利用について,11,顧客登録情報の変更希望,登録メールアドレスを変更したい,メールアドレス変更依頼,メールアドレス変更,なし,なし,中,メールアドレス変更,不明,アドレス;変更,低,上記アドレスへ変更,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を郵送で再発行してほしい,納品書の郵送再発行依頼,帳票再発行,なし,なし,低,不明,配送後,納品書;同梱されていなかった;郵送,中,納品書が同梱されていなかったので郵送して下さい。,不明
ガラス棚,不明,不明,3,注文について,4,注文のキャンセル,納品待ちのガラス棚のみをキャンセルしたい,納品待ち品のみキャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,納品待ち;ガラス棚;キャンセル;のみキャンセル,中,納品待ちのガラス棚のみキャンセルをお願いできますでしょうか。,ガラス棚（共通オプション）
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,着荷予定日より早い出荷が可能か確認したい,着荷予定日より早く出荷希望,納期確認,なし,なし,低,不明,注文後,着荷予定日;12月10日;急ぎ;出荷日を早める,高,急ぎ使用したいため、可能な限り出荷日を早めていただくことは可能でしょうか？,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,指定日を変更して早く発送してほしい,指定日を外して早く発送希望,納期変更,なし,なし,中,注文履歴詳細,注文後,指定日の変更;早急;12/12;指定日なし,高,指定日の変更をお願いします;早急に送って頂きたいので 12/12→指定日なしで よろしくお願いします,不明
不明,不明,不明,9,カタログ・DMについて,1,カタログを止めてほしい,メルマガの配信を停止したい,メルマガ配信停止の依頼,メルマガ配信停止,なし,なし,中,不明,不明,メルマガ;配信停止,低,メルマガの配信停止をお願いします。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,ワークフローサービスの営業提案をしたい,ワークフローサービスの売込み,不明,なし,なし,低,不明,不明,シヤチハタ株式会社;ワークフローサービス;稟議書;申請書;見積書;請求書;契約書;領収書;Excel;Word;PDF;捺印,低,この度は、弊社のワークフローサービスをご紹介したくご連絡をさせていただきました。;ぜひ一度詳細のお打ち合わせをさせていただきたく、こちらのメールアドレスに返信をいただけますと幸いです。,不明
不明,事務担当,ストエキ（公式サイト）,3,注文について,2,入金確認,注文2件分の振込入金が反映されているか確認したい,2件合算振込の入金確認依頼,入金確認,なし,なし,低,不明,支払時,"菊池建設株式会社;荻野;12/3注文;2件分;合算;10,120円;みずほ銀行;12/4振込;入金確認",中,"注文金額を合算(10,120円)し、みずほ銀行口座に本日(12/4)振込致しました。;ご確認の程、何卒よろしくお願い申し上げます。",不明
LEDライト付きナチュラル クリスマスガーランド /ホワイト,不明,不明,5,クレーム,2,お届け商品のパーツ不足,パーツ不足で点灯しない商品の交換を依頼したい,パーツ不足商品の交換可否,交換,なし,なし,中,お問い合わせフォーム,配送後,58-50-7-1;LEDライト付きナチュラル;クリスマスガーランド;ホワイト;電池;パーツ不足;ライトがつきません;点灯;交換可能;開封,中,１本が電池を入れるところのパーツが不足しておりライトがつきません。;開封してしまいましたが交換可能でしょうか。,イルミネーションライト
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,配送予定日（納期）を確認したい,配送がいつか至急確認したい,納期確認,なし,なし,中,注文履歴詳細,注文後,配送はいつ;急ぎ,高,配送はいつになりますでしょうか？;急ぎで欲しいです。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷済み商品の配送状況を確認したい,出荷済み商品の配送状況確認,配送状況確認,なし,なし,中,注文履歴詳細,注文後,昨日;商品出荷;配送状況;確認,中,配送状況の確認お願いいたします。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書の未着のため再送してほしい,納品書未着のため再送依頼,納品書再発行,なし,なし,低,不明,帳票発行時,納品書;未着;再送;再発行,中,こちらの注文の納品書が未着となっております。;ご再送いただけますでしょうか。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文番号58-12-2-3のキャンセル依頼,注文番号のキャンセル依頼,キャンセル,なし,なし,低,注文履歴詳細,注文後,注文番号58-12-2-3;キャンセル;銀行振り込み,中,注文番号 58-12-2-3をキャンセル願います。 (銀行振り込みで決裁したため),不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,配送日時（到着日）を指定したい,12/5着で届け日指定,配送日時指定,なし,なし,中,注文履歴詳細,注文後,お届け日;12月5日着,中,お届け日を12月5日着にてお願いいたします。,不明
昇降式ラウンドバースツール 座厚手タイプ,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,表示日より早い日付で着指定できるか確認したい,12/8着指定可否を確認,納期変更,サイト上で希望日（12/8）が選択できない,選択可能日が12/9のみで困る,中,ご注文の確認,注文後,12/9(火);12/8(月)着指定;納品を急いで;昇降式ラウンドバースツール;座厚手タイプ;希望数4台;ホワイト;61-436-67,高,納品を急いでおりまして、12/8(月)着指定でお願いすることは可能でしょうか。,丸椅子／スツール
不明,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,NP掛け払いの請求書をメールで送付してほしい,請求書未着のためメール送付依頼,請求書発行,なし,なし,中,不明,帳票発行時,NP掛け払い;支払い;請求書;メール送付;請求書がまだ届いておりません;WEBオーダー番号;13733854,中,「請求書がまだ届いておりません。」;「可能であればメールでご送付くださると有難いのですが、お願いできますでしょうか。」,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,物流倉庫サービスの営業提案をしたい,物流倉庫活用の営業提案,不明,なし,なし,低,不明,不明,神戸長田センター;物流倉庫;5500坪;神戸西センター;14000坪;JR神戸貨物ターミナル;モーダルシフト;在庫一時預かり;寄託;坪貸し;アウトソーシング;株式会社サーガ,低,神戸長田(サステナブル)物流倉庫ご活用のお知らせ(5500坪);是非貴社物流戦略拠点としてご活用下さい！,不明
クリスマスの装飾品,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済みクリスマス装飾品の納期を知りたい,注文済み装飾品の納期確認,納期確認,なし,なし,中,注文履歴詳細,注文後,クリスマス;装飾品;納期;いつ;そろそろ準備,中,クリスマスの装飾品を注文してありますが、納期はいつになりますか;そろそろ準備したいのですが,クリスマス雑貨
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,遅延品以外を先に分納出荷してほしい,出荷可能品の先送り依頼,分納出荷依頼,なし,なし,低,不明,注文後,手配中;出荷の遅延;12/26;先に送って,中,できれば出荷可能な商品を先に送っていただけないでしょうか？,不明
クリスマスツリーのセット;オーナメント,不明,不明,5,クレーム,2,お届け商品のパーツ不足,納品されたツリーのスタンド不足を追加送付してほしい,ツリースタンド不足の送付依頼,不足パーツ手配,なし,なし,低,不明,配送後,クリスマスツリー;オーナメント;ツリー;足元部分;スタンド;入っていません;納品,中,ツリーの足元部分（スタンド）が入っていません。;お送りをお願いします,オーナメント
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,広報・PR支援サービスの売り込み,PRスタッフ紹介の提案,不明,なし,なし,不明,不明,不明,アウル株式会社;小久保;プレスリリース;仙台;名古屋営業所;自主開催展示会;省人化;省力化;新什器;PRスタッフ;500名以上;ココモンズ;https://www.cocommons.biz/,低,こちらの素晴らしいプレスリリースを拝見しました。;ご興味があれば、ご説明させてください。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,到着日指定より早い配送が可能か確認したい,指定到着日より前倒し可否,納期確認,なし,なし,低,注文履歴詳細,注文後,到着日指定;最短;12/9;もっと早い,中,到着日指定で最短の12/９で指定をしていますが、もし可能ならもっと早い方が助かるのですが可能でしょうか。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,銀行振込で購入するため既存注文をキャンセルしたい,銀行振込購入のためキャンセル,キャンセル,なし,なし,中,注文履歴詳細,注文後,銀行振込;キャンセル,中,本日、銀行振込にて購入するためキャンセル願います。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,社宅サービスの営業提案をしたい,社宅サービスの提案営業,不明,なし,なし,低,不明,不明,採用強化;社宅;家具家電付き;短期1ヶ月;家賃5万円台;東京;大阪;名古屋;福岡;約7000室;引越;運送,低,「ウケが非常に良く採用効率UPに繋がる」;「ご興味がございましたら是非お早めに一度お問合せをいただければと考えております。」,不明
レジカウンター切り欠きタイプW1800ホワイト 6分割タイプ,不明,不明,1,商品単品の仕様について,8,その他商品について,レジカウンターの三面図資料を入手したい,レジカウンター三面図の依頼,商品仕様確認,なし,なし,中,商品ページ,注文前,株式会社船場;田邉;進行中案件;店舗;レジカウンター;三面図;切り欠きタイプ;W1800;ホワイト;6分割タイプ;61-830-5-4,中,下記レジカウンターの三面図をいただきたく存じます。,レジカウンター／レジ台
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文後の発送を最短にしてほしい,注文品を最短で届けたい,納期確認,なし,なし,中,注文履歴詳細,注文後,最短;送って;一昨日注文,高,可能でしたら最短で送っていただきたいです。;一昨日注文したつもりでいたのです。,不明
不明,不明,不明,14,担当者不在,1,担当オペレーター不在により後程折り返し,定休日のため別曜日に連絡してほしい旨の案内,定休日のため別日に案内,問い合わせ対応,なし,なし,中,不明,不明,月曜日;火曜日;定休日,低,当店、月曜日・火曜日は定休日となります。 それ以外の曜日でお願いいたします。,不明
不明,事務担当,不明,3,注文について,6,配送先の変更,発送伝票の備考欄に指定文言を記載してほしい,伝票備考欄へ指定記載依頼,配送伝票備考欄の指定,備考欄記載指定の方法が不明,備考欄へ指定文言を入れられない,中,お問い合わせフォーム,配送前,発送伝票;備考欄;PFT2026,中,こちらの商品の発送伝票の備考欄にPFT2026とご記載いただくことは可能でしょうか。,不明
手提袋,不明,不明,3,注文について,4,注文のキャンセル,手提袋の注文をキャンセルしたい,手提袋注文のキャンセル依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,手提袋;キャンセル,中,手提袋のキャンセルお願いしたいです,手提げ紙袋
不明,不明,不明,3,注文について,4,注文のキャンセル,注文済み商品のキャンセルを依頼したい,注文キャンセルの依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;商品キャンセル,中,商品キャンセルお願いします。,不明
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書の様式を確認したい,領収書の様式を知りたい,領収書,なし,なし,中,ヘルプページ,帳票発行時,領収書;様式,低,領収書の様式を教えてください。,不明
